Time,Output Speed,Weight on bit
55.18,156.2181989,423.165482
55.19,162.9041394,431.3854229
55.2,167.7228596,437.0607727
55.21,170.2165016,477.4358184
55.22,170.1134514,507.8089268
55.23,167.3811099,545.0098479
55.24,162.2317687,574.0331383
55.25,155.1077906,598.1384111
55.26,146.6344649,604.3031104
55.27,137.5656866,621.0663029
55.28,128.7095173,614.0304322
55.29,120.8690034,602.0195216
55.3,114.7592118,599.4084406
55.31,110.9173404,576.249086
55.32,109.6429111,555.4528733
55.33,110.9661143,531.5916756
55.34,114.6867173,508.4559035
55.35,120.4358347,488.7527832
55.36,127.7291628,467.0859863
55.37,136.0007055,444.6021613
55.38,144.6227556,432.5494741
55.39,152.9248602,415.5844021
55.4,160.2350824,428.0492732
55.41,165.9200444,439.656236
55.42,169.4559497,471.9201888
55.43,170.483247,493.665489
55.44,168.8660277,529.0233654
55.45,164.7099991,549.2087974
55.46,158.3664953,593.2208936
55.47,150.3851796,605.4750351
55.48,141.4742306,617.8849206
55.49,132.4254689,609.1882448
55.5,124.0562302,609.1839117
55.51,117.1258482,596.6810206
55.52,112.260449,584.0552769
55.53,109.8668141,564.0944739
55.54,110.0882383,533.5996721
55.55,112.819285,519.256947
55.56,117.7520733,493.6265648
55.57,124.4493542,479.675153
55.58,132.3748996,452.3845318
55.59,140.9268099,434.3048322
55.6,149.4497847,425.0203719
55.61,157.2661464,423.8783977
55.62,163.719497,434.4797856
55.63,168.2311026,454.6327495
55.64,170.363825,477.1730935
55.65,169.8817879,512.8720603
55.66,166.7852285,546.4576273
55.67,161.3230034,589.2779223
55.68,153.9633509,598.756042
55.69,145.3572172,610.8564451
55.7,136.2679286,616.7869662
55.71,127.5092699,612.5307666
55.72,119.8754203,601.8596881
55.73,114.0608711,589.7493465
55.74,110.5744281,572.2168815
55.75,109.6751156,550.2246524
55.76,111.3576569,525.8268053
55.77,115.3941411,506.1454351
55.78,121.3953389,483.2053966
55.79,128.8647481,461.4682584
55.8,137.2261183,440.6645637
55.81,145.8444686,433.1303363
55.82,154.046173,425.2126478
55.83,161.160416,429.6927816
55.84,166.5668168,438.2870002
55.85,169.7614739,467.8231103
55.86,170.4147135,503.1474943
55.87,168.4222611,534.6100784
55.88,163.9271039,558.013179
55.89,157.3110879,592.0236117
55.9,149.1511136,605.8019388
55.91,140.1710453,619.5429476
55.92,131.1701288,614.5534195
55.93,122.9615945,607.8339597
55.94,116.2925981,598.7418453
55.95,111.7600538,574.4225299
55.96,109.7383138,560.1748807
55.97,110.3303578,533.3690848
55.98,113.3981658,515.9369873
55.99,118.6125104,492.2561539
56,125.5187154,466.14123
56.01,133.5731552,449.9403349
56.02,142.1619945,433.7318332
56.03,150.6245451,413.7380398
56.04,158.2868655,433.6477932
56.05,164.4947456,434.6674574
56.06,168.689226,456.1905161
56.07,170.4578294,483.0868326
56.08,169.5964486,519.2060517
56.09,166.1403658,543.9467213
56.1,160.3736058,583.6314812
56.11,152.7934396,601.3495442
56.12,144.0697116,613.6823652
56.13,134.9764335,606.9516051
56.14,126.3328793,618.1847002
56.15,118.9193246,602.0881907
56.16,113.4111268,585.8848482
56.17,110.2848177,568.522334
56.18,109.7601595,542.9784445
56.19,111.7986777,530.4615674
56.2,116.1417469,502.9590657
56.21,122.385486,482.9061047
56.22,130.0183439,452.8442173
56.23,138.4572527,441.4301083
56.24,147.0572416,428.6977558
56.25,155.1446404,428.3913444
56.26,162.0506014,430.1228267
56.27,167.168506,441.8856998
56.28,170.0143896,459.0389424
56.29,170.2915224,509.3049487
56.3,167.9268562,537.918973
56.31,163.1009525,571.574378
56.32,156.2235333,585.6427718
56.33,147.9006142,611.1609971
56.34,138.8670885,617.2716654
56.35,129.9307556,616.6377745
56.36,121.8986913,607.0582795
56.37,115.5025405,593.2381267
56.38,111.3124187,574.3164933
56.39,109.6636207,556.3905227
56.4,110.622956,530.2363243
56.41,114.0219312,520.2706598
56.42,119.5075916,490.5950832
56.43,126.6127041,463.3277546
56.44,134.7824114,447.6272273
56.45,143.3947375,434.2713447
56.46,151.784338,419.7232192
56.47,159.2764336,426.7370997
56.48,165.2287019,435.91121
56.49,169.0978233,462.1927181
56.5,170.4983241,496.7624203
56.51,169.2576603,524.2436117
56.52,165.4489388,554.1400551
56.53,159.3873021,582.4192779
56.54,151.6000307,604.0510355
56.55,142.774633,616.4928427
56.56,133.6954014,610.5488177
56.57,125.181038,615.9624565
56.58,118.002297,600.9034573
56.59,112.8097654,576.1106142
56.6,110.0489419,566.3155738
56.61,109.8987432,543.490055
56.62,112.2861258,527.3541079
56.63,116.9283555,500.3562662
56.64,123.4033129,474.7865215
56.65,131.1899767,459.7640545
56.66,139.6914916,439.6061393
56.67,148.2594555,423.4260786
56.68,156.218918,431.8951483
56.69,162.9040927,430.7940863
56.7,167.7237979,449.2750614
56.71,170.2157325,467.277939
56.72,170.1137819,512.1702365
56.73,167.3807434,540.248011
56.74,162.2320068,577.0314452
56.75,155.1079239,599.745065
56.76,146.6352244,612.9669561
56.77,137.5650037,613.7455774
56.78,128.7105195,624.1003133
56.79,120.8695087,606.7979587
56.8,114.7582949,591.1622758
56.81,110.9170088,573.3621086
56.82,109.6425772,552.5775219
56.83,110.9666497,536.2536424
56.84,114.6873119,513.801905
56.85,120.4357231,487.7018981
56.86,127.7280069,455.5534712
56.87,136.0014749,452.760134
56.88,144.6226122,430.9363363
56.89,152.9252938,420.7403399
56.9,160.2348539,425.2053798
56.91,165.9199709,438.7094476
56.92,169.4548565,457.5458623
56.93,170.4841725,505.907249
56.94,168.8659268,527.7027117
56.95,164.7108527,560.121711
56.96,158.3650607,575.5735733
56.97,150.3859373,614.3372137
56.98,141.4740206,615.5720609
56.99,132.4257494,612.0861915
57,124.0565204,611.9967464
57.01,117.1259598,597.7040471
57.02,112.2594911,575.6202676
57.03,109.8668063,564.0284749
57.04,110.0889875,540.0749405
57.05,112.8200263,525.8162144
57.06,117.7525158,497.7082926
57.07,124.4486512,472.8381358
57.08,132.3754751,458.3276958
57.09,140.9270723,437.1844222
57.1,149.4493436,419.8914425
57.11,157.2656671,418.0217444
57.12,163.7195029,434.5558889
57.13,168.2310304,453.6908184
57.14,170.363756,476.2613125
